RunAccession,SampleAccession,DatasetAccession,LibraryStrategy,DatasetReadable,PairedEnd,Source,Endedness
SRR3161759,SRS1322704,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161760,SRS1322705,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161761,SRS1322703,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161762,SRS1322702,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161763,SRS1322700,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161764,SRS1322701,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161765,SRS1322699,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161766,SRS1322698,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161767,SRS1322696,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161768,SRS1322697,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161769,SRS1322695,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161770,SRS1322693,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161771,SRS1322694,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161772,SRS1322692,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161773,SRS1322691,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161774,SRS1322690,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161775,SRS1322689,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161776,SRS1322688,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161777,SRS1322686,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161778,SRS1322687,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161779,SRS1322685,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161780,SRS1322684,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161781,SRS1322682,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161782,SRS1322681,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161783,SRS1322683,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161784,SRS1322680,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161785,SRS1322679,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161786,SRS1322678,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161787,SRS1322677,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161788,SRS1322676,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161789,SRS1322674,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161790,SRS1322673,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161791,SRS1322672,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161792,SRS1322671,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161793,SRS1322670,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161794,SRS1322675,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161795,SRS1322669,SRP069883,PolyA,SRP069883,True,SRA,
SRR3161796,SRS1322668,SRP069883,PolyA,SRP069883,True,SRA,
SRR5812564,SRS2343053,SRP111368,PolyA,SRP111368,True,SRA,
SRR5812565,SRS2343052,SRP111368,PolyA,SRP111368,True,SRA,
SRR5812566,SRS2343054,SRP111368,PolyA,SRP111368,True,SRA,
SRR5812567,SRS2343055,SRP111368,PolyA,SRP111368,True,SRA,
SRR5812568,SRS2343056,SRP111368,PolyA,SRP111368,True,SRA,
SRR5812569,SRS2343057,SRP111368,PolyA,SRP111368,True,SRA,
